text,label
@ Texas Roadhouse - Joplin,❤
Views #pasorobles #winery #wines #winetasting #airbnb #pretty #sunny #hot,🔥
"Jack Johnson, an example of human being, in my life since 2012 #jackjohnsonconcert #jackjohnson…",❤
I wanna dance with you #X16 #UCSB,❤
baby's first time on the teacups,✨
"""The world is yours"" ---------->Dm if interested. #scarface #theworldisyours #art #dadhats…",🔥
Music by the river realnathandavis#photo #photography #photographer#photooftheday…,📷
I don't always post selfies but when I do they're in pink mirrors,❤
Back!!!,😎
#Wcw @user tell em you like fat niggas #FLASH,😂
Major delays systemwide on #BART . Tag us @user with your photos of your commute issues. :…,📷
Me at work lol,😂
#facts#facts #facts #factss#factsss#facts #truth#truths#words#wordswag#wordporn#wordsfo…,💯
"Had the pleasure of helping my grandma make #tamales Should have taken a video, but I did…",😎
"You can always tell when I start training, I sleep like the dead and barely move barely any…",😂
#history I'm h2low404,🔥
Hell yea @user killin it tonight at @user .........#firebeatz…,🔥
In good company,😊
Getting festive in the costume shop,✨
Just a little Rise and Drop Curve action for your viewing pleasure sayaswain_ #dirty #sopretty…,😊
@user because it crashes on launch,😜
Can't wait to be home tommorw,😊
"Find a friend who can make you laugh and your life will be better! Or, at least one who can…",💯
The sauce is not for anybody... it's for the ELITE! #LaithQuotes…,🔥
"@ Lake Worth, Texas",😎
Absolutely LOVED it tonight! He brought out @user @user & @user @user was #dope!…,😁
#hotsauce to make family lunches fun again!,🔥
My sister. My family. My friend. #soulsistas,✨
"Well, I think it might be time for a pedicure Loki. Whadha think?",😜
Stellar tasting @user last night celebrating their Greatest Hits. Just a few of the…,📷
Lazy days with my pup are the best,❤
The 50mm! I don't go anywhere without it! #cannon #jvalexperience______#follow #photoaday…,📷
"yesterday. : prietita.xingona , thank you for capturing the magic that is my existence",📷
#goodmorningpost #healthy #calories,😂
Hairs all frizzy.. bleh,😜
Alright choicejuicery work your magic,✨
Big thank you for the warm welcome Lacad Family. Merry CHRISTmas to all!…,😊
The happy feeling your get when you survived Monday here's to a good rest of the week!…,😊
We're home!! #Disneyland #disneyland60th,😉
WHOLE LOTTA.......PETTY. BY ronnieboykinjunior #PETTYGANGCHICAGO #INPETTYWETRUST…,📷
"So excited , just got my mail and I'm a winner!!! Woo Hoo!!!…",😊
Females are very spiteful shit ridiculous,😂
"""HARK!"" Congratulations Theena & Thomas! Words cannot express the love I have for both of you & how…",😉
"Slept in, relaxed, and didn't run this morning. Just as cool as a running shot .…",😎
"prepping for Thanksgiving with Christmas cookies, coffee and my gal pal : @user @user",📷
Female version of Edward Scissorhands He's my favorite Tim Burton character (which is also my…,😊
Happy anniversary honey. We are half way to 30! Thank you for choosing to do life with me &…,😂
disco,✨
The Relationship Breaker #shybellmedia #shybellonlinetv #shybellonline…,😂
"Night in Gotham. en Manhattan, New York",📷
Wow! I just love filters... @user Posted 06-15-16#art #pencil #drawing #portrait…,😎
I've been reading to her. My voice puts her to sleep every time,😁
We couldn't see any fireworks from where we were standing...but then we turned around …,😂
Cash us ousside? ....#losangeles #streetstyle #fashion #wanderlust #adventure #vlog…,🔥
CenturyLink Field estadio en Seattle,😊
Last nights little snow did so much to this truck,😂
I got ya going crazy #youknowwhoyouare #iseeyou #youmadbruh #noedit #oneofakind #igers…,😜
On set with my daughter filming today at universal studios,😊
Prints & Originals available on my online art store (link in bio)…,❤
・・・Day 6. Day synth. #deadswords #northendrecording,🔥
Crane watching in the am. pitterpatterpitterle,📷
Children in Swedish costume,✨
Motivation Monday #motivationmonday #BEASTMODE #allkindsofgains #fitness #uoeno…,😜
"Picking up Madeleine. Looking forward to opening day (@ Pizza Fusion in Norfolk, VA)",😊
Cheers to the weekend! Get your iced coffee fix with us! : @user #sweethouston x…,📷
"Awesome dinner date with the husband (and Kono) I love Taiwanese tonkotsu Ramen so much,…",❤
andrewfrola you gon know the verse,😂
Beatbox king @user and wonky lord @user killing their sets last night…,🔥
Who wants to listen to the WORLD PREMIERE of my NEW SONG - GET THE DROP?? get this post…,🔥
christmas came a little early this year,✨
@ Palace of Fine Arts,😁
"AFTER RECOVERING FROM A CAR ACCIDENT, I'M BACK ON STAGE. DESPUES DE RECUPERARME DEL ACCIDENTE…",🔥
@user I hate it when I plunge my headphones,😜
Be The Difference... Always... #rundmc #adidasoriginals #bethedifference #starwars #swag,💯
Thanks for making this season a great one! Can’t wait for next year,❤
Neverland #malibu,✨
Pretty Penny ft. Pop pulling out that deep fried turkey Happy…,🔥
Labor Day weekend start,🔥
#SecureLyfestyle #GHerbo tonite,😎
Guess who I'm watching perform this lovely afternoon? she sang in the chorus and played the…,❤
"#Repost @user with @user to driving ""Back to the future""…",😜
city of stars,✨
@ Courtside Square Apartments,😎
"Congratulations to our #TeamPVA Swimmer, Melissa Tran for a a day of very strong swims and two…",✨
tarteist quick dry matte lip paint - Rosé ..this one is a fav. out the 10 shades I got! …,❤
@ LadyTs Love box,💯
Ready for the biggest pride event in California #sfpride2016,😁
#likeaboss #ridingthechuchulikeaboss,😎
In our house we are just now all up and making breakfast #Christmas,😊
#aboutlastnight #djlyfe #litAf @user mustachemondays :…,📷
Row row row your boat gently down the stream. The down stream view on McDowell Creek. : sonyalpha…,📷
See ya #oklahoma ... is was ok,😉
"Detox water w/ lemon, cucumber, turmeric, & chia seeds",✨
LIVING LIFE WIT NO REGRETZ,😜
#mkmglam Pink is always a go Eyebrows • @user @user Shadows •…,❤
Woooiieee Unu run come here quick mi get mi batty fi move when mi bend over look yah…,😂
@ Barney's Beanery - Santa Monica,😎
Happy Saturday!! en McDill Airforce Base,😎
#tbt after an awesome show @user cred: @user,📷
I'm SO BUTCH! #homedecor : @user,📷
Lifestyle... : digital_eyez .....#dj #deckspert #djs #spinninsauce #MassAppeal…,📷
A not so long ago #throwback courtesy of @user ....#atlanta #atl #art #artist…,📷
"Enjoying a strawberry refresher, thanks to Auntie Meg",😁
Loving this holiday season @user,✨
@ Hollywood Blvd.,😜
I -I D- Don't G - Give A - AF - FuckO - OrS - Shit@user was lit AF #idgafos…,🔥
We jump out of our seats to catch this sunset... don't judge us || ••••#instagram…,📷
It's gonna be LIT,🔥
Life is good Enjoy it while you can,😊
#happythanksgiving : ravenpinestudio,📷
No Edit Necessary,📷
"(@ Lake Hollywood Park in Los Angeles, CA)",📷
"You're my best friend, you're my go to. #Cody",❤
Boardwalk Love,❤
My Murder The Beat Is Coming Soon Just Finished #Writing My #Lyrics,💯
Never Home But Always Reppin. R I A L T O . ㊣ : hurricane.abe#SoundCloud : iamMTG#Twitter :…,📷
Every time I look into his eyes it's just makes me want to go harder @user #mensstyle…,📷
That's hot. #instagay #maletomale,🔥
Borrowed from @user You know who you are,😉
We're a happy family. : @user,📷
rainy weather #arewethereyet,😜
Happy Birthday to my beautiful mother. 35 never looked so good @user,😉
Let me know if you guys are interested!!,🔥
Fire Agate #nobodysafetour #latepost,🔥
Chillin at 'The End'. #montauk #longisland #shades,😎
It's about to get real,😎
Still practicing,📷
Behind the scenes of a shoot with @user today So fun working with their crew!! AND its…,📷
"I Always make Music for the Listener; This Time , It's Personal | @user Sacramento,…",📷
"soybeans for days, edamame #illinois #farm #soybeans",😊
#dtla,😎
a year and a half with my other half thank you for being the best…,😊
f a i r y l a n d. #adventuringwithmytwin #castrovalley…,✨
// Live footage from #littlecmusicfestival coming soon...!!#NYC come see us Tomorrow at…,🔥
Actually looking at Alex in this picture|| :…,📷
"#superbowl #DabbinPeyton Are y'all ready for ""8Sideways ""? Click the link in my bio for…",😂
#Repost robot_on_coffee ||@user yesterday was over #9000 the love I've been getting…,📷
Rehab a step above the rest... #rehabdifferently #movementismedicine #integration,💯
Happy birthday Micah! Getting set up for my Easy Keto party -#ketobirthdaycake #ketoparty…,😉
Drinking an Old Fashioned and eating chicken & waffles. God bless America and nothing else. :…,📷
#pomonachristmasparade #JoshuaMatthew,❤
I guess I'm really fascinated by my shoes... // :,📷
You can’t do homework if you’re not home,😉
Endurance day today! Our clients totally killed it (per usual ). Check out our new space! Pretty…,🔥
Thankful to all Law Enforcement (especially those who let us cook for them )**REMINDER: First…,😉
"""All I do is Push"" Consignment Bants down @user with twojskicks @user &…",😂
"If at first you don't succeed, skydiving is not for you.",😂
My boo #disneynights,❤
We saw the thing and protected our faces too. #Arboretum #UK…,😜
This is our stellar new friend from Santa Monica. He kept telling us he wanted a new board! …,😂
Touristy. The heck was that wave.,😂
"Just me and ""Q""uik in the studio getting ready for #WestCoastWednesday on @user #Vegas…",😂
#BeenAminute My niece keke.101_ won't let me be great #SheWasRecording,😁
"""A good friend knows all your stories. A best friend helped you write them"" unknown",❤
Finding out our mascots after all these years,😂
Double time fuck yes,😎
Streamin live on #Lacoolradio with @user,🔥
LAST NIGHT KICKIN IT WIT THE HOMIES @user @user @user #MACKMAINE …,📷
"A little bit of denim deviation coming right up- hint, jeans aren't the only way to wear it. by…",📷
Total blast yesterday seeing @user up close! These guys are on ! #concert #music…,🔥
What an absolute privilege it was to play for Anthony & Jenelle's wedding today in Napa! it was my…,❤
Time for the #2ndShow #ealinmotowntour2 #motownthemusical #LasVegas #Stretch #Down!,😜
Reclaiming my time,✨
Official sponsor,😁
"Couldn't tell what looked better, him or the food (definitely him). Happy 3 months, babe @user",❤
“@user When she says she likes poems.. just thought this was funny,😂
| #setlife,📷
Happy #tuesday I've got an #audition today! #commercial @user,📷
Just want to take this moment to WelcomeCorey ReilmannTo our team So glad to have him on…,🔥
Day 2 on #CheeseShopFilm. : @user,📷
View of #Smoke from #BluecutFire from #ChinoHills #abc7eyewitness,🔥
Thanksgiving #crew,😎
"Finding Peace... 1st You Must Find Anger, Embrace It...All of it... Then Let it go....Now You…",🔥
Throwing it back to 7 year old Ky,😎
Who is ready for #beaverstock 2016?! Eager Beaver passes are on sale now for a limited time! …,📷
Big . -| cldtoon,📷
@user Oh I’m just being a coffee snob asshole and amusing myself. As you were.,😎
Waiting for late dinner with my two youngest daughters,😊
"I gave @user his first interview 2 years ago, and 2 years later we're still boys good…",💯
@ Harvest Orange County,✨
New Beat coming soon #Bandz Ft joemosesaob maxoking prod by Me…,🔥
Cheers to an AMAZING week,✨
nigga his house was like 20 blocks away. Lmao. A dollar per…,😂
Good Morning this shieyts still #lmao #tbthursday,😂
I’m a happy camper,😊
Production time for drinkinsmokinwestcoastin : jenayallday,📷
Checked out the view from the new building after a successful presentation #calpolypomona #collins…,😎
What a beautiful sight to behold again #buffalo,😊
If We only live once Ive decided I wanna stay as a kid for ever #Tiburòn #merrychristmas…,😁
@user is v photogenic. ...#sunyoldwestbury #suny #vsco #vscocam,📷
@user is the bomb for com . So much progressing comes from these pad sessions with…,😎
Fresh off #workworkworkwork #contemplation to do or not to do ... but in the meantime…,😜
Merry Christmas from us to you .....#muchlove #merrychristmas #fromustoyou #family…,❤
"Once again, bruswiffleandmore kills the waffle game. of @user",📷
@user @user he he he.,😊
Not this year Clemson championship bound #rolltide,😂
1 on 1 with Jr. _smejia #G9 #spacejam,📷
Maybe we should take this show on the road Teaching the beautiful @user how to DJ…,😉
"@user It may be cold outside but it'll be ""Lit"" inside! #dontsleep #letsgo #heatoc @user",🔥
FRIDAY! Don’t miss this one guys #flosstradamus #freaky #bass #trap #charlotte #nc…,🔥
"Bruh, this shit is really tomorrow night Thanksgiving Eve (November 22, 2017)Ali Baba Lounge…",😎
Improved outtake from Guitar Guy sketch (link in bio)! @user & Kevork Tutunjian. @user,💯
"STYLE LAB: Edwing D'Angelo SS18 ""A M E R I C A N A"" GIRL POWER! #EdwingDAngelo #SpringSummer18…",🔥
This beats golf frosty cold adult beverages and sports (@ Twin Peaks West Palm Beach),😎
Happy Monday!,❤
That boi said one on one for your girl,😂
doppler_ifbbpro and Kai cuddling. They are always together. This makes me laugh! #maltipoo…,😂
Inbox Me for My address to My post office box,😎
When u see yo self on uh music video,😂
It was all a dream #garagesessions,✨
Happy Birthday Pop,😊
We needed ice can you tell?,😂
#Repost _cornell__ (via @user women ain't going nowhere ...TAG A…,😂
Blacked out ...#forcefitathletics #allblackeverything #allmuscle #blackandgold #retro14…,🔥
It's on like popcorn artnoirco! #ArtNoir #jetsetforart,🔥
Cape Cod living for #cantoberfest Deb,📷
Shayne and Noah acting as characters is the best thing ever,😂
I think my rain boots go with my fanny pack,😎
Steve McQueen mixed with James Dean. ( @user ) #princehallmasons…,📷
Bout to hit it big,💯
"Doing what you love is #freedom, Loving what you do is #happiness. :dnkvisionz #perform…",📷
I went on a hike yesterday.. It was beautiful,❤
They are having a ball!!!! #lissashoutouts #lissanjfollowtrain #lissanjfeeds…,😊
New cups ....#ceramics #clay #pottery #claylife #thisisceramics #claycrits,😎
Training with my FAMILY tonight. I don't know what I would do without them. kmeliteprogram…,💯
#Radiohead #BurnTheWitch#BestConcertEver,😁
""" I be hanging out here and I'm famous ""- August 2015 - L.A, Cali - : iPhone6",📷
"This video is Etcetera ""Keep It 100 feat Tory Lanez"" available everywhere! …",🔥
A few more from Mike's road trip to Yellowstone!#yellowstone #nationalpark #summer #camping…,📷
"""Are you sure this waters sanitary? Looks questionable to me."" -Tantor : stephgirardphoto…",📷
Thanx For The Picture @user Make Sure You Guys Follow Him & His Work Supporting All Local…,📷
"Ohhhh hip hop (@ Comet Tavern in Seattle, WA)",😜
The universe is equal to her vast appetite .Original by BaudelaireFeminized by…,✨
somewhere on the side of the road.... thanksgiving trip to san diego // : shazami141,📷
The most beautiful people we have known are those who have known…,✨
Chill Sunday #lakelife #youknowhowthatshitgoes #paisa,😉
"Me, looking for songs in that big chair. x @user",📷
TheBay’s #hudsonsbay windows are ready for Christmas,😉
First time at a Chinese restaurant and first time at an actual big girl restaurant …,❤
"#HappyFrenchToastDay cinnamon roll French toast, yum",😊
Pocahontas Vibes for the 2016 @user GLAM: makeupby_pnang @user @user,✨
Link in Bio,🔥
Got a gift to keep my eyes on the prize. by @user #throwbackthursday…,📷
"Ribeye. 20oz. (I didn't share! ) Served with roasted garlic mashed potatoes, roasted veggies…",😎
High five with my little niece.,😉
My office is wherever I want it to be #trucking #bigrig #sunset #iphonesnap #iphonephotography #art…,😉
They tumble blindly as they make their way across the universe Yeah we finally did the…,✨
My friends are pretty rad if ya ask me #WhoRemembersThisNight #BecauseIDont,😉
"Sometimes, you really do feel this way’ This is why I like what I do now. I can combine…",😂
chillin' #beverlyhills #rodeodrive #holidays #LA #USA #travel #latepost #versace #IG #IGdaily…,😎
This baked macaroni is truly amazing.10 out of 10...,😊
Take a look at some of the possibilities for customizable drink wear. Imagine your company…,😎
My favorite party at my favorite bar with my favorite hosts and one of my favorite boys Check…,😎
#WCW,❤
Marianas Trench again,❤
Getting ready for the last pet night,😁
#Monday got me likeeee @user theshecollective,😉
Ha!!! Guess what I do folks?! Maybe some real estate and awkward videos . Thanks for being here…,😉
So true!,😂
Leg day is coming,😂
Pick ups #ElCamino,🔥
The most awkward mic pass ever YouTube: Der Witz SUBSCRIBE!!,😂
Spending my money on @user is definitely something of value gosh this was a week…,😜
"A cedar Good Candle, a fresh coffee, and some Harvest Moon. :@user",📷
S l a y b e l l e s. credit: @user •••#FentyxStance #holidayseasonishere #shoefie @user,📷
#facts #ifyouknowwhatsgoodforyou,😂
Sinigang na Bagnet for this windy night. Let’s eat friends! @user,😊
@ Norwood Hills Country Club,💯
SebastianCruz#FashionStatement17#PocketSquares#216,😎
To those who have served both past and present #thankyou #veteransday #salute #militaryappreciation…,😎
I'm home #GoodVibes#GoodPeople#GoodDrinks#EveryMonday,😎
Shopping in Newport today with mrsfreshton @user verowheeler and the Kids,😎
otw special trip,😎
Wohttp Hermès Birkin 10%OFF!!!!THIS SUNDAY!!VIP…,😜
Cutest person at my Panel .I had so much fun at #AnimeCTX! Definitely want to come again! I…,❤
#worklife #thanful,😎
My beautiful client #behindthechair #blondhair #goodstuff #marin #marincountylife…,❤
Bright lights and bottle service,😎
Every night we still on fleek!! #gobestie xo @user,❤
This is what a vegan eats at a truck stop in Arkansas. #veganlife #gottaloveit #truckstop…,😜
#PaintNite with my Amigas,😊
Florida Was Real!Jesus Is Alive,😂
Jenny Lewis,✨
Proud owners of The Babe Cave,✨
Crazy runs in the family! Marathon #9 was mighty fine thanks to getting to run with Vlad my…,😂
"No edges, no filter, no problem. Happy Wholidays are here again! Piece by @user paint and…",😎
So much Magic here at Christmas time!!! #merrychristmasfromdisneyland,✨
Today I feel like a little chocolate #chocolate #mood,😂
The Trees : @user,📷
#findattis on #highway101 and get you some. #highway101south #highway101north…,😜
3 months later,❤
VV. #cc 2beimproved_,😂
"Opportunities are like sunrises. If you wait too long, you miss them. Good Morning …",😊
"** COMPETITION**Inov8 want to see YOUR best outdoor adventure photos, be they #trailrunning…",📷
Friday on Elm street out now @user @user,🔥
J-Spice back taking pictures with #BeuatifulFlowers J-Spice is hotter than ice tho,🔥
So this happened today!! The most amazing decision ever!!! #skydiving #Seattle #adrenaline…,😎
Link in bio for more info or ...#budgetbeautyguru #bbloggers #benefit…,❤
Loves Of My Life.,❤
Who needs gloves to tie dye? #sundayfunday #summer2k17,😂
SN coming through,😂
Sparkling negroni,😜
Beautiful bride bookended by her even more beautiful aunts.,😉
Throwback thursday! Leo & Stitch#liloandstitch #disneyprograms #disneyhousingcontest17…,😂
#lobatan,😁
"workshopping and transposing this yesterday was a pleasure, congratulations and look forward…",🔥
@ W Hotel Roof Top Pool And Club,😎
"Mosquitoes, wack. | : @user",📷
PART 2 For @user Is Here Next Saturday come out for The Biggest #Aquarius Birthday…,🔥
Operation Tap - The Future - Brittney @user /// @user ///#MEEKS…,📷
"MY FAVORITE JACKET COLLECTION ""DEAR REMY"" BY EL JERRELL #chicago #detroit #milwaukee #newyork…",🔥
#ElyseCizek @user in Empress mode in @user #nakidmagazine by @user,📷
Making moves yesterday w/ @user,😎
"same bff, new orleans",😎
Sitting so high we can see the Hollywood sign #justhappytobehere #mlb #dodgers…,😂
"Swiping right on ppl who fly Cessna planes b/c want to go on a flying date. How much does plane gas cost, I'll bust out $100 to go up guys",😉
Post-gaming @ #ritzbarandlounge lol #home #ilikethisnewdancer #youbetterworkbitch…,😜
Running away to join the #Cirque! #localocaloca,✨
Hugo Boss times w/ @user @user samdoerfler74 #memories #hamptons #hugoboss,😉
Time for dinner and enjoying this view of the Sound (@ The @user,😊
Going into the week like #shablam Happy Halloween week peeps . Thank you @user for…,😂
Silly #christmaseve,😜
I'm trying to crash a party after 8 hours of preschoolers. #bblogger #beautyvlogger #sfblogger…,😁
This kid knows what he's talkin about #tobeapartner #5364…,😎
These are the moments I live for Young spirit will never loose touch with the Lil girl I was…,😊
Thank God #Vegas food YA I'll fly by all U got 2do. CALL ME 24-7 D only time Ya here this week LV #PARTY YA THANKS,😁
Birthday Dinner! #sopheet Little #olivebeltran slept the entire meal!,😂
This is not something I normally do...ever. Working on that #spontaneity thing …,😂
Lovely evening at Falls Creek! Can't wait to come back soon #fallscreek2017…,😊
Happy almost Friday,😉
going this wknd to univ.s.,✨
I won the drawing! LOL! I am not sure I@user ever won anything... #5freerefills #reusablecup…,😂
We may support rival teams but we have the same home I love this girl so much and had a…,😊
#thanksgiving My kids have a great father #thanksgiving2017…,💯
Bear Lake #funtimes #camping #yogaeverydamnday #paddleboard with my girl Brooke,✨
accessories from today's fun shoot #jpow,😜
Volunteer PIZZAZZ with @user at @user outreach event for helping the homeless…,✨
C a l i f o r n i a L o v e,😎
#goteam #acapaccoast #teamintraining #tnt #raise4lls #lls #llstnt,😊
Team breakfast this am on our way to first scrimmage 1pm,💯
Anything for that Insta pic. #Instagram #brothers #crazy #silly #anythingforinstagram #extreme…,😂
"Be grateful for another day. Not everybody made it, so don't take it for granted.",❤
Haven't felt this good in awhile,😊
So today my job received a check and I was one of the people to hold it,😊
Link? Zac? Troy? Nah it's Nick Merritt #lshshairspray,❤
In progress... WinCo dough and flour,😉
Day 2 of tracking off to a great start! Go follow @user for more!! : samwestre…,📷
Visited two of my favorite stars today,✨
New shirt #DicksOutForHarambe,😂
Umm excuse me.. You're not suppose to wear white after Labor Day #welcomebackhome,😜
I'll never be too old to learn. I'm focused! : @user #DL #DreamLine #HustlersRevenge…,📷
Thank YOU for your ongoing support & business Have a beautiful holiday season & Happy…,✨
Good morning from San Francisco #coffee #croissant #book #breakfast #inbed #perfectstart…,😊
After game fireworks,😜
Can I transfer here?,✨
Yep. Back on the #coffee thanks @user,😁
"9/29/2017 just made it by the hair of my chinny chin chin. Munich, here I come. #insta2017 …",📷
"Rear back and aim, and Fire Away",🔥
"The one and only, happy birthday my king @user #MichaelJackson #KingOfPop",🔥
Still got it. Must be in my Brazilian genes. michaeltoddfitness #hulahoop #beachday…,📷
Shout to my new friend _stylism_ for hooking it up with some sick gstar jeans,🔥
"You know what they say about ""all work and no play."" Sometimes a wild #pokemon appears and you…",😁
Gettin' my pretty-boy on by @user ***#gstarraw #barneysnewyork #gstar #la…,📷
TBT: DIGGIN IN THE CRATES LIKE MY NAME WAS LORD FINESSE : @user,📷
Sages and Spartans can be friends with Rockets... right?,😉
"he said no, but she said yes! congratulations to the Vidal's …",❤
Missing the city of angels...,❤
"@ Taylors, South Carolina",😂
c h i l l i n' with my Stella,😎
@user Shut oasisoflongisland Down Last Friday This Friday We Back In The Building…,🔥
Met these awesome new fans at our show last night @user We had so much fun talking to…,❤
"@ Baltimore, Maryland",😂
.@user @user @user @user y'all killed it last night thanks for coming out and bein awesome,😊
Britney and Wendy take on Rutgers,😜
"Activos NY. en Times Square, New York City",😎
It's cuz he wants to make it real bad so he can pay for our whole wedding,😂
